casting_processes,casting_size_from,casting_size_to,country,employees,metals,name,state,value_added_processes,zip
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,400.0,US,84.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",ALU-BRA FOUNDRY INC,IL,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking",60106.0
,0.0,0.0,US,0.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",APPLIED PROCESS INC,MI,"Engineering and Design,Heat Treat,Prototyping,Surface Treatments",48150.0
,0.0,0.0,US,0.0,"Austempered Ductile Iron,Other Cast Irons",APPLIED PROCESS INC,MI,Heat Treat,48150.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1.0,1500.0,US,50.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Other Cast Steel,Superalloys",ASTECH ALLOY STEEL TECHNOLOGIES INC,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",48768.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Squeeze/Semisolid",2.0,2000.0,US,40.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",BADGER IRON WORKS INC,WI,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",54751.0
Permanent Mold-Gravity/Tilt Pour,0.0,0.0,US,90.0,,BATESVILLE PRODUCTS INC,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting",47025.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,250.0,US,265.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",BENTON FOUNDRY INC,PA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",17814.0
Lost Foam (EPC/Full Mold),500.0,50000.0,US,100.0,"Ductile Iron,Gray Iron",BETZ INDUSTRIES,MI,,49504.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",5.0,10000.0,Canada,0.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Steel,Low Alloy Steel","BRADKEN CANADA MANUFACTURING LTD (LONDON, ON CANADA)",Ontario,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",0.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5000.0,55000.0,US,186.0,"Carbon Steel,Low Alloy Steel,Other Cast Steel","BRADKEN INC (AMITE, LA)",LA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",70422.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",200.0,70000.0,US,750.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel","BRADKEN INC (ATCHISON, KS)",KS,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",66002.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",100.0,45000.0,US,300.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Other Cast Steel,Superalloys","BRADKEN INC (TACOMA, WA)",WA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",98409.0
