Address,Casting Processes,Casting Size (From),Casting Size (To),City,Country,Employees,Fax,Metals,Name,Phone,State,Value Added Processes,Website,Zip
630 E Green St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,400,Bensenville,US,84,(630) 766-3307,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",ALU-BRA FOUNDRY INC,(630) 766-3112,IL,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking",http://www.alubra.com,60106
12202 Newburgh Rd,,,,Livonia,US,,(734) 464-6314,"Austempered Ductile Iron,Ductile Iron,Gray Iron",APPLIED PROCESS INC,(724) 544-2100,MI,"Engineering and Design,Heat Treat,Prototyping,Surface Treatments",http://www.appliedprocess.com,48150-1046
12238 Newburgh Rd,,,,Livonia,US,,(734) 464-6314,"Austempered Ductile Iron,Other Cast Irons",APPLIED PROCESS INC,(734) 464-2030,MI,Heat Treat,http://www.appliedprocess.com,48150
5512 Scotch Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1,1500,Vassar,US,50,(989) 823-7214,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Other Cast Steel,Superalloys",ASTECH ALLOY STEEL TECHNOLOGIES INC,(800) 327-8474,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.astechcast.com,48768
2103 Stokke Parkway,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Squeeze/Semisolid",2,2000,Menomonie,US,40,(715) 235-1398,"Austempered Ductile Iron,Ductile Iron,Gray Iron",BADGER IRON WORKS INC,(715) 235-4223,WI,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.badgerironworks.com,54751
434 Margaret Street,Permanent Mold-Gravity/Tilt Pour,,,Lawrenceburg,US,90,(812) 537-5693,,BATESVILLE PRODUCTS INC,(812) 537-2272,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting",http://www.batesvilleproducts.com,47025
5297 State Route 487,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,250,Benton,US,265,(570) 925-6929,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",BENTON FOUNDRY INC,(570) 925-6711,PA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.bentonfoundry.com,17814
2121 Bristol Ave NW,Lost Foam (EPC/Full Mold),500,50000,Grand Rapids,US,100,(616) 453-1033,"Ductile Iron,Gray Iron",BETZ INDUSTRIES,(616) 453-4429,MI,,http://www.betzindustries.com,49504
3040 Osler St,"Air-Set/Nobake,Gas-Hardened/Coldbox",5,10000,London,Canada,,(519) 455-0621,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Steel,Low Alloy Steel","BRADKEN CANADA MANUFACTURING LTD (LONDON, ON CANADA)",(519) 455-5420,Ontario,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://bradken.com/our-business/engineered-products,N5Y 1V3
13040 Foulks Ln,"Air-Set/Nobake,Green Sand-Horizontally Parted",5000,55000,Amite,US,186,(985) 748-7396,"Carbon Steel,Low Alloy Steel,Other Cast Steel","BRADKEN INC (AMITE, LA)",(985) 748-5342,LA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://bradken.com/our-business/engineered-products,70422
